longitude,latitude,date_death,days
5.54347,49.64406,21/12/2018,136
5.54344,49.644,08/01/2019,154
5.46282,49.61406,09/01/2019,155
5.46256,49.61488,09/01/2019,155
5.537228,49.648057,20/12/2018,135
5.536758,49.648102,20/12/2018,135
5.53702,49.64805,20/12/2018,135
5.53496,49.64854,20/12/2018,135
5.555701,49.648614,01/12/2018,116
5.54605,49.64191,21/12/2018,136
5.5059,49.600734,08/01/2019,154
5.506583,49.600917,09/01/2019,155
5.493194,49.612028,09/01/2019,155
5.49435,49.61228,09/01/2019,155
5.42729,49.65759,09/01/2019,155
5.617595,49.605365,01/12/2018,116
5.618813,49.604418,01/12/2018,116
5.461635,49.637083,09/01/2019,155
5.460917,49.636778,09/01/2019,155
5.454,49.638639,09/01/2019,155
5.460778,49.636752,09/01/2019,155
5.46558,49.62191,10/01/2019,156
5.46446,49.62262,10/01/2019,156
5.46754,49.62241,10/01/2019,156
5.46562,49.6226,10/01/2019,156
5.46465,49.62273,10/01/2019,156
5.46459,49.62273,10/01/2019,156
5.46465,49.62241,10/01/2019,156
5.46453,49.6224,10/01/2019,156
5.45882,49.62277,10/01/2019,156
5.45869,49.62258,10/01/2019,156
5.45941,49.62273,10/01/2019,156
5.45888,49.62272,10/01/2019,156
5.51945,49.61387,08/01/2019,154
5.431617,49.649618,12/01/2019,158
5.509196,49.648891,21/01/2019,167
5.42192,49.67345,11/01/2019,157
5.44768,49.63983,14/01/2019,160
5.48353,49.63533,02/01/2019,148
5.44988,49.63687,13/01/2019,159
5.57445,49.61857,07/12/2018,122
5.43615,49.63558,14/01/2019,160
5.44458,49.63906,13/01/2019,159
5.779,49.67,02/01/2019,148
5.4355,49.651,16/01/2019,162
5.505393,49.614652,14/01/2019,160
5.505063,49.614686,14/01/2019,160
5.504994,49.614894,14/01/2019,160
5.507158,49.62522,15/01/2019,161
5.505531,49.614959,14/01/2019,160
5.455704,49.63609,14/01/2019,160
5.477596,49.656753,14/01/2019,160
5.4515,49.663,18/01/2019,164
5.442603,49.65735,30/01/2019,176
5.47539,49.62562,14/01/2019,160
5.49689,49.68323,21/01/2019,167
5.44328,49.64752,03/02/2019,180
5.43898,49.64727,31/01/2019,177
5.44909,49.63089,13/01/2019,159
5.45038,49.63254,20/01/2019,166
5.45144,49.63125,20/01/2019,166
5.59276,49.64205,18/01/2019,164
5.592697,49.641983,18/01/2019,164
5.50753,49.60606,22/01/2019,168
5.5083,49.6059,22/01/2019,168
5.4491,49.63236,24/01/2019,170
5.457252,49.630964,25/01/2019,171
5.45767,49.63127,25/01/2019,171
5.45787,49.63169,25/01/2019,171
5.45872,49.62713,28/01/2019,174
5.45936,49.62752,28/01/2019,174
5.4596,49.62733,21/01/2019,167
5.45862,49.62764,28/01/2019,174
5.46457,49.63082,21/01/2019,167
5.458562,49.627462,28/01/2019,174
5.45844,49.62748,28/01/2019,174
5.458341,49.627484,28/01/2019,174
5.458422,49.627437,28/01/2019,174
5.458286,49.627484,28/01/2019,174
5.458427,49.62743,28/01/2019,174
5.4583,49.62744,28/01/2019,174
5.458496,49.627528,28/01/2019,174
5.45812,49.6266,28/01/2019,174
5.4577,49.62606,28/01/2019,174
5.45811,49.62605,28/01/2019,174
5.51151,49.713637,09/02/2019,186
5.51053,49.71379,09/02/2019,186
5.45371,49.65519,29/01/2019,175
5.455007,49.656397,28/01/2019,174
5.441986,49.658476,21/01/2019,167
5.4544,49.65705,29/01/2019,175
5.455019,49.656085,28/01/2019,174
5.45452,49.65612,28/01/2019,174
5.45514,49.65547,29/01/2019,175
5.508204,49.62824,22/01/2019,168
5.508912,49.628685,22/01/2019,168
5.514605,49.62268,28/01/2019,174
5.51138,49.60556,22/01/2019,168
5.50783,49.60313,29/01/2019,175
5.49206,49.59368,29/01/2019,175
5.50885,49.60562,29/01/2019,175
5.47152,49.65304,10/01/2019,156
5.46958,49.65277,28/01/2019,174
5.471049,49.65312,28/01/2019,174
5.46864,49.65178,28/01/2019,174
